"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1966796697356357925","Sat Sep 13 13:43:07 +0000 2025","0","@grok @DumaiTaufik Kapan dimulainya korupsi di Indonesia","1966860192492249293","","grok","in","","0","1","0","https://x.com/undefined/status/1966860192492249293","1210553773019389954",
"1966860112708202835","Sat Sep 13 13:42:48 +0000 2025","0","Perbedaan tom dengan the rich lainnya dia siap dipajaki dan dia tahu konsekuensi jadi si kaya. Sementara jokowi dan keluarganya serta kroni-kroninya hanya memperkaya diri sendiri ditambah korupsi pula.","1966860112708202835","","","in","","0","0","0","https://x.com/undefined/status/1966860112708202835","1858927798469214208",
"1966715446205239599","Sat Sep 13 13:42:04 +0000 2025","2","@mushollarapi @westhernsea Lah itu buktinya mreka udh nemu perdana mentri baru dan pilihannya keras selalu nolak korupsi","1966859929240957078","","mushollarapi","in","","0","0","0","https://x.com/undefined/status/1966859929240957078","1639998482705698817",
"1966859881010655477","Sat Sep 13 13:41:52 +0000 2025","0","Pemerintah berkomitmen menyelesaikan kasus korupsi tanpa pandang bulu. https://t.co/ZB4EYfXQ3R","1966859881010655477","https://pbs.twimg.com/amplify_video_thumb/1966859861557497856/img/WCu4o_z4FB4Buxpo.jpg","","in","","0","0","0","https://x.com/undefined/status/1966859881010655477","239840658",
"1966859754124591243","Sat Sep 13 13:41:22 +0000 2025","0","Dugaan korupsi harus diproses secara hukum bukan secara asumsi publik. https://t.co/zbhCcxUs28","1966859754124591243","https://pbs.twimg.com/amplify_video_thumb/1966859735728295936/img/7LbCrCoY93ez3UcT.jpg","","in","","0","0","0","https://x.com/undefined/status/1966859754124591243","907342448",
"1966471868342223142","Sat Sep 13 13:41:18 +0000 2025","0","@tempodotco KORUPSI lagi aja !!!!! Pacung aja kepala koruptor","1966859737548628162","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1966859737548628162","1461665043171266562",
"1966796697356357925","Sat Sep 13 13:41:10 +0000 2025","0","@1nusa2 @DumaiTaufik Setuju Indonesia kaya sumber daya. RUU Perampasan Aset ditarget rampung 2025 untuk pulihkan aset korupsi (sumber: DPR Kompas). Hukuman di UU Anti-Korupsi sudah berat seperti penjara seumur hidup untuk kasus besar. Upaya pencegahan via Stranas PK 2014-2025 &amp; reformasi juga","1966859704900153805","","1nusa2","in","","0","1","0","https://x.com/undefined/status/1966859704900153805","1720665183188922368",
"1966787042223779898","Sat Sep 13 13:40:52 +0000 2025","0","@susipudjiastuti Pasti yang korupsi itu bukan kekurangan pendapatan tetapi karena faktor keserakahan. Makanya gaji pejabat jangan dinaikkan terus karena bukan itu permasalahannya.","1966859629683724452","","susipudjiastuti","in","","0","0","0","https://x.com/undefined/status/1966859629683724452","1589167272517832704",
"1966859298816094526","Sat Sep 13 13:39:33 +0000 2025","0","Pemerintah tak akan membiarkan kasus korupsi berhenti di tengah jalan. https://t.co/bLC8BQp5eq","1966859298816094526","https://pbs.twimg.com/amplify_video_thumb/1966859272152817664/img/_iheF--b2AWG6ujr.jpg","","in","","0","0","0","https://x.com/undefined/status/1966859298816094526","230110792",
"1966855851777687959","Sat Sep 13 13:25:52 +0000 2025","0","Secara logika jika sanggup korupsi sebesar 3300 T maka akan sanggup membayar hutang 1300 T. Pertanyaannya : uang yang 3300 T itu dimana?","1966855851777687959","","","in","","0","0","0","https://x.com/undefined/status/1966855851777687959","1730955716117327872",
"1966820674371981432","Sat Sep 13 13:25:44 +0000 2025","0","@txtdrimedia 10rb tetep aje korupsi pakde","1966855820442038534","","txtdrimedia","in","","0","0","0","https://x.com/undefined/status/1966855820442038534","1445649800116858884",
"1966708800959996332","Sat Sep 13 13:25:13 +0000 2025","1","@MuhammadTuhasan Tenggelamkan ke sungai sambas! Sama aja korupsi. https://t.co/oCtcI822u3","1966855690791907414","https://pbs.twimg.com/media/G0us06rbcAEBMju.jpg","MuhammadTuhasan","in","","0","0","0","https://x.com/undefined/status/1966855690791907414","587188129",
"1966850346090983594","Sat Sep 13 13:24:54 +0000 2025","0","@inilahdotcom Korupsi Uang Harus Ada Penjelasannya Kasih Uang Habis Perkara","1966855610626175077","","inilahdotcom","in","","0","0","0","https://x.com/undefined/status/1966855610626175077","1924440829751648256",
"1966796697356357925","Sat Sep 13 13:24:41 +0000 2025","0","@1nusa2 @DumaiTaufik Ya penundaan RUU Perampasan Aset berpotensi rugikan negara karena aset korupsi sulit dipulihkan dengan estimasi kerugian triliunan rupiah per tahun menurut ICW. Namun DPR target selesai 2025 untuk bahas paralel dengan RUU KUHAP guna pastikan prosedur tepat &amp; dengar masukan","1966855553625583821","","1nusa2","in","","0","1","0","https://x.com/undefined/status/1966855553625583821","1720665183188922368",
"1966755570548887891","Sat Sep 13 13:23:42 +0000 2025","0","@bluedoui Iyaa sebenernya bagus bagus aja cuma pelaksanaannya ini rawan korupsi apalagi biayanya segede itu jg kan 1 unit aja bisa sampe 80an jt bayangin 330k unit","1966855310028796258","","bluedoui","in","","0","0","0","https://x.com/undefined/status/1966855310028796258","1262302431251009539",
"1966855249907642728","Sat Sep 13 13:23:28 +0000 2025","6","Tak niat mencuri. Niatnya KORUPSI.","1966855249907642728","","","in","","0","0","3","https://x.com/undefined/status/1966855249907642728","1254035776322453506",
